# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-13
---
'a'wei 阿魏
'bai'hua'gao 白花膏
'bai'hua'gui'deng'long 白花鬼灯笼
'bai'hua'hei'huang'she 白滑黑黄舌
'bai'hua'jian 白花箭
'bai'hua'ni'tai 白滑腻苔
'bai'hua'san 白花散
'bai'hua'she 白花蛇
'bai'hua'she'gan 白花射干
'bai'hua'she'san 白花蛇散
'bai'hua'she'she'cao 白花蛇舌草
'bai'hua'she'wan 白花蛇丸
'bai'hua'shi'zhu 白花石竹
'bai'hua'tai'hei'xin'she 白滑苔黑心舌
'bai'hua'tai'jian'hui'ci'she 白滑苔尖灰刺舌
'bai'hua'xia'ku'cao 白花夏枯草
'bai'hua'yan'tuo 白花岩陀
'bai'hua'yi'mu'cao 白花益母草
'bai'hua'zhen'zhu'cao 白花珍珠草
'bai'huan'teng 白环藤
'bai'huan'yu 白环俞
'bai'huang 白黄
'bai'huo'dan'cao 白火丹草
'bai'ji 白及
'bai'ji 白棘
'bai'ji 白芨
'bai'ji'er 白鸡儿
'bai'ji'li 白蒺藜
'bai'ji'li'san 白蒺藜散
'bai'ji'san 白及散
'bai'jian'chun 白茧唇
'bai'jian'hong'gen'she 白尖红根舌
'bai'jian'huang'gen'she 白尖黄根舌
'bai'jian'zhong'hong'hei'gen'tai 白尖中红黑根苔
'bai'jiang 白姜
'bai'jiang 白降
'bai'jiang'can 白僵蚕
'bai'jiang'can'san 白僵蚕散
'bai'jiang'cao 败酱草
'bai'jiang'dan 白降丹
'bai'jiang'teng 白浆藤
'bai'jiang'xue'san 白降雪散
'bai'jiao 白胶
'bai'jiao'mu 白胶木
'bai'jiao'xiang 白胶香
'bai'jie 百节
'bai'jie'gu 白接骨
'bai'jie'wan 白芥丸
'bai'jie'zi 白芥子
'bai'jie'zi'jiu 白芥子灸
'bai'jin 白筋
'bai'jin'tiao 白金条
'bai'jin'wan 白金丸
'bai'jing 白睛
'bai'jing'bao'hong 白睛抱红
'bai'jing'fei'xue 白睛飞血
'bai'jing'fu'yong 白睛浮壅
'bai'jing'hong'chi 白睛红赤
'bai'jing'luan'mai'zheng 白睛乱脉症
'bai'jing'ning'zhi 白睛凝脂
'bai'jing'qing'lan 白睛青蓝
'bai'jing'qing'lan'bing 白睛青蓝病
'bai'jing'yi'xue 白睛溢血
'bai'jing'yi'xue'bing 白睛溢血病
'bai'jing'yu'yan'yao 白敬宇眼药
'bai'jing'zi 白镜子
'bai'ju'hua 白菊花
'bai'jun 白菌
'bai'ke'chuang 白壳疮
'bai'kou 白蔻
'bai'kou'chuang 白口疮
'bai'kou'ren 白蔻仁
'bai'kou'yi 白蔻衣
'bai'la 白蜡
'bai'la'gao 白蜡膏
'bai'lai 白癞
'bai'lan 白兰
'bai'lan 白榄
'bai'lan 白烂
'bai'lan'gen 白榄根
'bai'lan'hua 白兰花
'bai'lang'du 白狼毒
'bai'le 白簕
'bai'le'gen 白簕根
'bai'le'hua'ye 白簕花叶
'bai'lei'wan 白雷丸
'bai'leng'feng 白冷风
'bai'li 白痢
'bai'li'shuang 百里霜
'bai'lian 白蔹
'bai'lian'gao 白蔹膏
'bai'lian'wan 白蔹丸
'bai'lian'yi'yi'tang 白蔹薏苡汤
'bai'liang'jin 百两金
'bai'long'chuan'hua 白龙船花
'bai'long'fen 白龙粉
'bai'long'san 白龙散
'bai'long'xu 白龙须
'bai'lou 白漏
'bai'lu 白露
'bai'lu'yi'fa'cong'xin 白露医法从新
'bai'lun 白轮
'bai'luo'ke 白螺壳
'bai'luo'si'ke 白螺蛳壳
'bai'lv'zhong 白履忠
