# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-13
---
'a'wei 阿魏
'gan'lu'yin'zi 甘露饮子
'gan'lu'zhi'quan 甘露之泉
'gan'lu'zi 甘露子
'gan'mai'da'zao'tang 甘麦大枣汤
'gan'mao 感冒
'gan'mao'bing 感冒病
'gan'mao'zhu 泔茅术
'gan'mu'fan'wei'zheng 肝木犯胃证
'gan'pi 疳癖
'gan'pi 肝癖
'gan'pi'bu'he 肝脾不和
'gan'pi'bu'tiao'zheng 肝脾不调证
'gan'pi'kui'xu'zheng 肝脾亏虚证
'gan'pi'liang'xu'zheng 肝脾两虚证
'gan'pi'qi'zhi'zheng 肝脾气滞证
'gan'pi'shi'huo'zheng 肝脾湿火证
'gan'pi'shi're'zheng 肝脾湿热证
'gan'pi'xue'yu'zheng 肝脾血瘀证
'gan'pu 甘蒲
'gan'qi 干漆
'gan'qi 疳气
'gan'qi 肝气
'gan'qi'cheng'pi'zheng 肝气乘脾证
'gan'qi'er'long 疳气耳聋
'gan'qi'fan'wei 肝气犯胃
'gan'qi'fan'wei'zheng 肝气犯胃证
'gan'qi'heng'ni 肝气横逆
'gan'qi'ru'yin 疳气入阴
'gan'qi'yu'jie 肝气郁结
'gan'qi'yu'jie'qi'zhi'xue'yu'zheng 肝气郁结气滞血瘀证
'gan'qi'yu'jie'zheng 肝气郁结证
'gan'qi'yu'zhi 肝气郁滞
'gan'qi'yu'zhi'zheng 肝气郁滞证
'gan'qi'zheng 疳气证
'gan'qing'qing'lan 甘青青兰
'gan're'bing 肝热病
'gan're'liu'zhu 疳热流注
'gan're'shang'rao'zheng 肝热上扰证
'gan'se'yan 疳涩眼
'gan'shan'bian 赶山鞭
'gan'shang 疳伤
'gan'shang'jian'yan'zheng 感伤健眼证
'gan'shen'bu'zu'zheng 肝肾不足证
'gan'shen'kui'sun'zheng 肝肾亏损证
'gan'shen'kui'xu'sui'ku'jin'wei'zheng 肝肾亏虚髓枯筋痿证
'gan'shen'kui'xu'yin'xue'bu'zu'zheng 肝肾亏虚阴血不足证
'gan'shen'kui'xu'zheng 肝肾亏虚证
'gan'shen'liang'kui'zheng 肝肾两亏证
'gan'shen'liang'xu'yue'shu'wu'quan'zheng 肝肾两虚约束无权证
'gan'shen'liang'xu'zheng 肝肾两虚证
'gan'shen'yin'xu 肝肾阴虚
'gan'shen'yin'xu'feng'yang'shang'rao'zheng 肝肾阴虚风阳上扰证
'gan'shen'yin'xu'gan'yang'shang'kang'zheng 肝肾阴虚肝阳上亢证
'gan'shen'yin'xu'zheng 肝肾阴虚证
'gan'shi 甘石
'gan'shi 疳湿
'gan'shi 疳蚀
'gan'shi'chuang 疳湿疮
'gan'shi'chuang 疳蚀疮
'gan'shi'hu 干石斛
'gan'shou 疳瘦
'gan'shou'jin'hai 甘守津还
'gan'shui 疳水
'gan'song 甘松
'gan'song'xiang 甘松香
'gan'sou 疳嗽
'gan'sui 甘遂
'gan'sui'ban'xia'tang 甘遂半夏汤
'gan'sui'tong'jie'tang 甘遂通结汤
'gan'wang'pi'kun'zheng 肝旺脾困证
'gan'wang'pi'ruo 肝旺脾弱
'gan'wang'pi'xu'zheng 肝旺脾虚证
'gan'wei'bu'he 肝胃不和
'gan'wei'bu'he'zheng 肝胃不和证
'gan'wei'qi'zhi'zheng 肝胃气滞证
'gan'wei'xu'han'yin'xie'shang'fan'zheng 肝胃虚寒饮邪上犯证
'gan'wei'xu'han'zheng 肝胃虚寒证
'gan'wei'yin'xu'zheng 肝胃阴虚证
'gan'wei'yu're'zheng 肝胃郁热证
'gan'wen 肝瘟
'gan'wen'chu're 甘温除热
'gan'xi'bing'lei 肝系病类
'gan'xian'zheng 干陷证
'gan'xie 疳泻
'gan'xie'tong 干胁痛
'gan'xin'wu'jiang 甘辛无降
'gan'xue'bu'zu'feng'zhong'mai'luo'zheng 肝血不足风中脉络证
'gan'xue'bu'zu'wai'gan'feng'xie'zheng 肝血不足外感风邪证
'gan'xue'bu'zu'zheng 肝血不足证
'gan'xue'kui'xu'zheng 肝血亏虚证
'gan'xue'nei'jie'zheng 干血内结证
'gan'xue'xu 肝血虚
'gan'xue'xu'zheng 肝血虚证
'gan'xue'yu'zhi'zheng 肝血瘀滞证
'gan'ya'yin 疳牙龈
'gan'yan 疳眼
'gan'yang'bao'kang'feng'huo'shang'ni'zheng 肝阳暴亢风火上逆证
'gan'yang'bao'kang'feng'huo'shang'rao'zheng 肝阳暴亢风火上扰证
'gan'yang'bao'kang'zheng 肝阳暴亢证
'gan'yang'hua'feng'tan're'shang'rao'zheng 肝阳化风痰热上扰证
'gan'yang'hua'feng'zheng 肝阳化风证
'gan'yang'shang'kang 肝阳上亢
'gan'yang'shang'kang'mai'luo'yu'zu'zheng 肝阳上亢脉络瘀阻证
'gan'yang'shang'kang'tan'xie'zu'qiao'zheng 肝阳上亢痰邪阻窍证
'gan'yang'shang'kang'zheng 肝阳上亢证
'gan'yang'shang'rao'zheng 肝阳上扰证
'gan'yang'xu'zheng 肝阳虚证
'gan'yi'shi'chou 干噫食臭
'gan'yin'bu'zu'zheng 肝阴不足证
'gan'yin'kui'xu'zheng 肝阴亏虚证
'gan'yin'xu'zheng 肝阴虚证
'gan'yong 肝痈
'gan'yu'bu'shu'zheng 肝郁不舒证
'gan'yu'dan're'zheng 肝郁胆热证
'gan'yu'hua'huo'zheng 肝郁化火证
'gan'yu'hua're'zheng 肝郁化热证
'gan'yu'huo'wang'zheng 肝郁火旺证
'gan'yu'pi'xu 肝郁脾虚
'gan'yu'pi'xu'zheng 肝郁脾虚证
'gan'yu'qi'zhi'qi'huo'shang'ni'zheng 肝郁气滞气火上逆证
'gan'yu'qi'zhi'tan'zhuo'zu'luo'zheng 肝郁气滞痰浊阻络证
'gan'yu'qi'zhi'zheng 肝郁气滞证
'gan'yu'shen'kui 肝郁肾亏
'gan'yu'shen'xu'zheng 肝郁肾虚证
'gan'yu'shi're'zheng 肝郁湿热证
'gan'yu'tan'huo'zheng 肝郁痰火证
'gan'yu'tan'ning'zheng 肝郁痰凝证
'gan'yu'xue're'zheng 肝郁血热证
'gan'yu'xue'xu'zheng 肝郁血虚证
'gan'yu'xue'yu'zheng 肝郁血瘀证
'gan'yu'zheng 肝郁证
'gan'zai 甘载
'gan'zao'bing 干燥病
'gan'ze 甘泽
'gan'zhang 疳胀
'gan'zhe 甘蔗
'gan'zhe'pi 甘蔗皮
'gan'zheng 疳证
'gan'zhong'huang 甘中黄
'gan'zhong'zhang 疳肿胀
'gan'zhong'zhang'zheng 疳肿胀证
'gan'zhu 肝著
'gan'zhu'jin 肝主筋
'gan'zhu'mou'lv 肝主谋虑
'gan'zhu'ru'tang 甘竹茹汤
'gan'zhu'shu'xie 肝主疏泄
'gang'ban 杠板
'gang'ban'gui 杠板归
'gang'chang'bing'hun'he'zhi'bing 肛肠病混合痔病
'gang'chang'bing'nei'zhi'bing 肛肠病内痔病
'gang'chang'bing'wai'zhi'bing 肛肠病外痔病
'gang'chang'bing'zhi'bing 肛肠病痔病
'gang'lie'bing 肛裂病
'gang'mei 岗梅
'gang'men'shi'yang'bing 肛门湿疡病
'gang'song 岗松
'gang'yong'bing 肛痈病
'gao'bao'heng 高保衡
'gao'ben 藁本
'gao'bing'jun 高秉钧
'gao'chang 高昶
'gao'chuan 高喘
'gao'dan'zhong 高旦中
'gao'deng'zhen'jiu'xue'jiang'yi 高等针灸学讲义
'gao'dou'kui 高斗魁
'gao'feng'nei'zhang 高风内障
'gao'feng'que'mu 高风雀目
'gao'feng'que'mu'bing 高风雀目病
'gao'feng'que'mu'nei'zhang 高风雀目内障
'gao'feng'zhang'zheng 高风障症
'gao'fu 高福
'gao'gai 高盖
'gao'gu 高骨
'gao'gu'feng 高鼓峰
'gao'han'zhi 高汉峙
'gao'huang 膏肓
'gao'jiao'shu'er'cao 高脚鼠耳草
'gao'jin'ting 高锦庭
'gao'li'shen 高丽参
'gao'lian 高濂
'gao'liang'jiang 高良姜
'gao'liang'jiang'tang 高良姜汤
'gao'lin'bing 膏淋病
'gao'ling'tu 高岭土
'gao'mei'gu 高梅孤
'gao'min'zhi 高敏之
'gao'qi 高期
'gao'qi'yun'wai'ke'quan'shu'shi'zhong 高憩云外科全书十种
'gao'qu 高曲
'gao're'shang'yin'zheng 高热伤阴证
'gao'rui'nan 高瑞南
'gao'ruo'ne 高若讷
'gao'shao'gong 高绍功
'gao'shen 高伸
'gao'shen'fu 高深甫
'gao'shi 高士
'gao'shi'shi 高世栻
'gao'shi'yi 高士亿
'gao'shi'zong 高士宗
'gao'wen'zhuang 高文庄
'gao'wu 高武
'gao'xiao 高消
'gao'xue'shan 高学山
'gao'yang'sheng 高阳生
'gao'yin 高隐
'gao'yong 高癰
'gao'yu'zhang 高玉章
'gao'yuan'xiong'bi 高原胸痹
'gao'zhe'yi'zhi 高者抑之
'gao'zhi'zhai 高志斋
'gao'zhu'jin'kui'yao'lue 高注金匮要略
'ge'bo 胳膊
'ge'gen 葛根
'ge'gen'huang'qin'huang'lian'tang 葛根黄芩黄连汤
'ge'hua 葛花
'ge'jie 蛤蚧
'ge'ju 格拒
'ge'ke 蛤壳
'ge'pian'ku 鬲偏枯
'ge'qi 格气
'ge'qi 鬲气
'ge'que 胳却
'ge'shan 膈疝
'ge'shan'qiao 隔山撬
'ge'shang 鬲上
'ge'shi 格食
'ge'tan'feng'jue'tou'tong 鬲痰风厥头痛
'ge'xia'zhu'yu'tang 膈下逐瘀汤
'ge'xian 鬲痫
'ge'xiao 鬲消
'ge'yan 鬲咽
'ge'yan'hui'yao 格言汇要
'ge'yang 格阳
'ge'yang'guan'yin 格阳关阴
'ge'yang'hou'bi 格阳喉痹
'ge'yang'nv'xue 格阳衄血
'ge'yang'xu'huo'shi'xue 格阳虚火失血
'ge'yang'zheng 格阳证
'ge'yin'zheng 格阴症
'ge'yu 鬲育
'ge'zhi'yu'lun 格致余论
'ge'zhong're 鬲中热
'ge'zhou 胳肘
'gen'jiao'hou'feng 根脚喉风
'gen'jie 根结
'gen'jing 根茎
'gen'liu'zhu'ru 根溜注入
'gen'xia'hong 根下红
'geng'gong 耿肱
'geng'hou 哽喉
'geng'tong'cao 梗通草
'gong'ding'xiang 公丁香
'gong'du'sha'chong'zhi'yang'yao 攻毒杀虫止痒药
'gong'jian 攻坚
'gong'lao'gen 功劳根
'gong'lao'mu 功劳木
'gong'lao'ye 功劳叶
'gong'li 攻里
'gong'neng'xing'zi'gong'chu'xue 功能性子宫出血
'gong'wai'yun'fang 宫外孕方
'gong'wei'shi 躬尾势
'gou'bao 狗宝
'gou'gan'cai 狗肝菜
'gou'gan'cao 狗肝草
'gou'ji 狗脊
'gou'lou'bing 佝偻病
'gou'qi 枸杞
'gou'qi'zi 枸杞子
'gou'teng 钩藤
'gou'teng'yin 钩藤饮
'gou'wen 钩吻
'gu'an'xin'shen'wan 古庵心肾丸
'gu'ben'kang'ping'shang'han'lun 古本康平伤寒论
'gu'ben'nan'jing'chan'zhu 古本难经阐注
'gu'bi 骨痹
'gu'bi'bing 骨痹病
'gu'bu'tang 顾步汤
'gu'cang'fang'tang 古苍防汤
'gu'cao'feng 谷槽风
'gu'cao'feng'bing 骨槽风病
'gu'cheng 顾澄
'gu'cheng'zhang 顾成章
'gu'chong'tang 固冲汤
'gu'dai'er'ke'ji'bing'xin'bian 古代儿科疾病新编
'gu'dai'ji'bing'ming'hou'shu'yi 古代疾病名候疏义
'gu'dai'yi'yan'fang'yi'shi 古傣医验方译释
'gu'de'hua 顾德华
'gu'du'qin'fei'zheng 蛊毒侵肺证
'gu'er'mu'san 古二母散
'gu'fa'xin'jie'hui'yuan'zhen'jiu'xue 古法新解会元针灸学
'gu'fang'ba'zhen 古方八阵
'gu'fang'hui'jing 古方汇精
'gu'fang'lin'chuang'zhi'yun'yong 古方临床之运用
'gu'fang'xin'jie 古方新解
'gu'gou'teng 古钩藤
'gu'guan'guang 顾观光
'gu'huan 顾欢
'gu'jie'teng'fan 骨节疼烦
'gu'jin'lu'yan'fang 古今录验方
'gu'jin'lu'yan'xu'ming'tang 古今录验续命汤
'gu'jin'ming'yi'fang'lei'bian 古今名医方类编
'gu'jin'ming'yi'fang'lun 古今名医方论
'gu'jin'ming'yi'hui'cui 古今名医汇粹
'gu'jin'shou 顾金寿
'gu'jin'tu'shu'ji'cheng'yi'bu'quan'lu 古今图书集成医部全录
'gu'jin'yi'an'an 古今医案按
'gu'jin'yi'an'an'xuan 古今医案按选
'gu'jin'yi'fang'ji'cheng 古今医方集成
'gu'jin'yi'jian 古今医鉴
'gu'jin'yi'tong 古今医统
'gu'jin'yi'tong'da'quan 古今医统大全
'gu'jin'yi'tong'zheng'mai'quan'shu 古今医统正脉全书
'gu'jing 固精
'gu'jing'cao 谷精草
'gu'jing'wan 固经丸
'gu'lian'jiang 顾练江
'gu'liu'bing 骨瘤病
'gu'mai'ya 谷麦芽
'gu'man'yun 顾鬘云
'gu'mu'li'zang'tang 顾母理脏汤
'gu'qi 谷气
'gu'ru 顾儒
'gu'shan'long 古山龙
'gu'shang'ke'liu'bing 骨伤科瘤病
'gu'shang'zhi 顾尚之
'gu'shen 固肾
'gu'shi'cheng 顾世澄
'gu'shi'yi'jing 顾氏医镜
'gu'shi'yi'yuan'er'shi'zhong 顾氏医苑二十种
'gu'shu'quan 顾漱泉
'gu'shu'yi'yan 古书医言
'gu'song'yuan'yi'jing 顾松园医镜
'gu'sui'bu 骨碎补
'gu'ting'zao'san 古葶枣散
'gu'wei 骨痿
'gu'xi 顾锡
'gu'xiao'lan 顾晓澜
'gu'ya 谷芽
'gu'yan'ning'jing'bing 鹘眼凝睛病
'gu'yan'wen 顾焉文
'gu'yang'jiao 羖羊角
'gu'yang'teng 古羊藤
'gu'yang'wu 顾养吾
'gu'yong'zhi 顾咏植
'gu'yu'lian'wan 古萸连丸
'gu'yu'shan'fang'fang'shu'san'zhong 古愚山房方书三种
'gu'yu'tian 顾雨田
'gu'yuan 顾沅
'gu'yuan'jiao 顾元交
'gu'yuan'ping 顾元平
'gu'yue'lao'ren 古月老人
'gu'zhang 臌胀
'gu'zhang 谷胀
'gu'zhang 鼓胀
'gu'zhang'bing 臌胀病
'gu'zhe'bing 骨折病
'gu'zheng 骨蒸
'gu'zhong'bing 股肿病
'gua'ban 瓜瓣
'gua'cai'ren 瓜菜仁
'gua'chui'cao 瓜槌草
'gua'di 瓜蒂
'gua'di'lou 瓜蒂漏
'gua'di'san 瓜蒂散
'gua'di'shen'miao'san 瓜蒂神妙散
'gua'di'tang 瓜蒂汤
'gua'ding 瓜丁
'gua'jiang'pi 瓜姜皮
'gua'lian'wan 栝连丸
'gua'lou 栝楼
'gua'lou 瓜蒌
'gua'lou'gen 栝楼根
'gua'lou'gen'san 栝蒌根散
'gua'lou'gen'tang 栝蒌根汤
'gua'lou'gui'zhi'tang 栝蒌桂枝汤
'gua'lou'jian 栝蒌煎
'gua'lou'jing'ye 栝楼茎叶
'gua'lou'ke 栝楼壳
'gua'lou'mu'li'san 栝蒌牡蛎散
'gua'lou'niu'bang'tang 栝蒌牛蒡汤
'gua'lou'pi 栝楼皮
'gua'lou'pi 瓜蒌皮
'gua'lou'qing'dai'wan 栝蒌青黛丸
'gua'lou'qu'mai'wan 栝蒌瞿麦丸
'gua'lou'ren 栝楼仁
'gua'lou'ren 瓜蒌仁
'gua'lou'san 栝蒌散
'gua'lou'san 瓜蒌散
'gua'lou'shi 栝楼实
'gua'lou'tang 栝蒌汤
'gua'lou'xie'bai'bai'jiu'tang 栝蒌薤白白酒汤
'gua'lou'xie'bai'bai'jiu'tang 瓜蒌薤白白酒汤
'gua'lou'xie'bai'ban'xia'tang 栝蒌薤白半夏汤
'gua'lou'xie'bai'ban'xia'tang 瓜蒌薤白半夏汤
'gua'lou'xing'lian'wan 栝蒌杏连丸
'gua'lou'zhi'shi'tang 栝蒌枳实汤
'gua'lou'zi 栝楼子
'gua'lou'zi 瓜蒌子
'gua'pi'san 瓜皮散
'gua'rang'lou 瓜瓤漏
'gua'rang'wen 瓜瓤瘟
'gua'shi'tang 栝石汤
'gua'teng'chan 瓜藤缠
'gua'teng'chan'bing 瓜藤缠病
'gua'teng'ding 瓜藤疔
'gua'teng'li 瓜藤疬
'gua'teng'lou 瓜藤漏
'gua'wei'gen 瓜萎根
'gua'wei'ren 瓜萎仁
'gua'wei'zi 瓜萎子
'gua'zi'cao 瓜子草
'gua'zi'jin 瓜子金
'gua'zi'lian 瓜子莲
'gua'zi'teng 瓜子藤
'gua'zi'yan'yao 瓜子眼药
'guan'bai'fu 关白附
'guan'cao 莞草
'guan'ge 关格
'guan'ge'bing 关格病
'guan'gui 官桂
'guan'jie'tong 关节痛
'guan'mu'tong 关木通
'guan'xin'su'he'wan 冠心苏合丸
'guan'zhong 贯仲
'guan'zhong 贯众
'guang'bai 广白
'guang'chang 广肠
'guang'chen'pi 广陈皮
'guang'ci'gu 光慈姑
'guang'dan 广丹
'guang'di'ding 广地丁
'guang'di'long 广地龙
'guang'fang'ji 广防己
'guang'fang'yi 广防已
'guang'huo'xiang 广藿香
'guang'huo'xiang 广霍香
'guang'jiao 广角
'guang'jin'qian'cao 广金钱草
'guang'mu'xiang 广木香
'guang'tao'ren 光桃仁
'guang'yu'jin 广郁金
'guang'zhi'gou 光枝勾
'gui'bai 鬼白
'gui'ban 龟板
'gui'ban'jiao 龟板胶
'gui'bei 龟背
'gui'ci 鬼刺
'gui'ding 桂丁
'gui'ding'xiang 桂丁香
'gui'fa 归法
'gui'fu'ba'wei'wan 桂附八味丸
'gui'fu'di'huang'wan 桂附地黄丸
'gui'fu'li'zhong'wan 桂附理中丸
'gui'fu'san 桂附散
'gui'fu'tang 桂附汤
'gui'fu'wan 归附丸
'gui'fu'wan 桂附丸
'gui'ge'yin 归葛饮
'gui'gui'hua'ni'tang 归桂化逆汤
'gui'hun'yin 归魂饮
'gui'jia 龟甲
'gui'jia'jiao 龟甲胶
'gui'jian'yu 鬼箭羽
'gui'jing 归经
'gui'jing'tang 归荆汤
'gui'kui'tang 归葵汤
'gui'lai 归来
'gui'ling'bai'zhu'san 桂苓白术散
'gui'ling'bai'zhu'wan 桂苓白术丸
'gui'ling'gan'lu'san 桂苓甘露散
'gui'ling'gan'lu'yin 桂苓甘露饮
'gui'ling'gan'zhu'tang 桂苓甘术汤
'gui'ling'shen'zhu'tang 桂苓神术汤
'gui'ling'wan 桂苓丸
'gui'ling'wu'wei'gan'cao'tang 桂苓五味甘草汤
'gui'ling'yin 桂苓饮
'gui'lu'er'xian'jiao 鬼鹿二仙胶
'gui'mai'yu'cao'tang 归麦榆草汤
'gui'pi'tang 归脾汤
'gui'pi'wan 归脾丸
'gui'qi'yin 归芪饮
'gui'shao'di'huang'tang 归芍地黄汤
'gui'shao'di'huang'wan 归芍地黄丸
'gui'shao'hong'hua'san 归芍红花散
'gui'shao'tian'di'jian 归芍天地煎
'gui'shao'yi'gong'san 归芍异功散
'gui'shao'yi'gong'tang 归芍异功汤
'gui'she'san 桂麝散
'gui'shen'dan 归神丹
'gui'shen'wan 归肾丸
'gui'wan'rong 桂万荣
'gui'wei 归尾
'gui'wei'ze'lan'tang 归尾泽兰汤
'gui'xiang'san 桂香散
'gui'xiang'wan 桂香丸
'gui'xin 桂心
'gui'xin'tang 桂心汤
'gui'xing'san 桂星散
'gui'yan'lu 归砚录
'gui'yuan'rou 桂圆肉
'gui'yuan'san 归原散
'gui'zhen 鬼针
'gui'zhi 桂枝
'gui'zhi'bai'hu'tang 桂枝白虎汤
'gui'zhi'ban'xia'tang 桂枝半夏汤
'gui'zhi'chai'hu'tang 桂枝柴胡汤
'gui'zhi'er'ma'huang'yi'tang 桂枝二麻黄一汤
'gui'zhi'er'yue'bi'yi'tang 桂枝二越婢一汤
'gui'zhi'fang'feng'tang 桂枝防风汤
'gui'zhi'fu'ling'wan 桂枝茯苓丸
'gui'zhi'fu'zi'qu'gui'jia'bai'zhu'tang 桂枝附子去桂加白术汤
'gui'zhi'fu'zi'tang 桂枝附子汤
'gui'zhi'gan'cao'long'gu'mu'li'tang 桂枝甘草龙骨牡蛎汤
'gui'zhi'gan'cao'tang 桂枝甘草汤
'gui'zhi'ge'gen'tang 桂枝葛根汤
'gui'zhi'huang'qi'tang 桂枝黄芪汤
'gui'zhi'huang'qin'tang 桂枝黄芩汤
'gui'zhi'jia'da'huang'tang 桂枝加大黄汤
'gui'zhi'jia'dang'gui'tang 桂枝加当归汤
'gui'zhi'jia'fu'zi'tang 桂枝加附子汤
'gui'zhi'jia'ge'gen'tang 桂枝加葛根汤
'gui'zhi'jia'gui'shao'tang 桂枝加归芍汤
'gui'zhi'jia'gui'tang 桂枝加桂汤
'gui'zhi'jia'hou'pu'xing'zi'tang 桂枝加厚朴杏子汤
'gui'zhi'jia'huang'qi'tang 桂枝加黄芪汤
'gui'zhi'jia'long'gu'mu'li'tang 桂枝加龙骨牡蛎汤
'gui'zhi'jia'shao'yao'sheng'jiang'ren'shen'xin'jia'tang 桂枝加芍药生姜人参新加汤
'gui'zhi'jia'shao'yao'tang 桂枝加芍药汤
'gui'zhi'jian 桂枝尖
'gui'zhi'jiang'fu'tang 桂枝姜附汤
'gui'zhi'long'gu'mu'li'tang 桂枝龙骨牡蛎汤
'gui'zhi'ma'huang'ge'ban'tang 桂枝麻黄各半汤
'gui'zhi'qiang'huo'tang 桂枝羌活汤
'gui'zhi'qu'gui'jia'fu'ling'bai'zhu'tang 桂枝去桂加茯苓白术汤
'gui'zhi'qu'shao'yao'jia'fu'zi'tang 桂枝去芍药加附子汤
'gui'zhi'qu'shao'yao'jia'ma'huang'xi'xin'fu'zi'tang 桂枝去芍药加麻黄细辛附子汤
'gui'zhi'qu'shao'yao'jia'zao'jia'tang 桂枝去芍药加皂荚汤
'gui'zhi'qu'shao'yao'tang 桂枝去芍药汤
'gui'zhi'ren'shen'tang 桂枝人参汤
'gui'zhi'san 桂枝散
'gui'zhi'shao'yao'tang 桂枝芍药汤
'gui'zhi'shao'yao'zhi'mu'tang 桂枝芍药知母汤
'gui'zhi'sheng'jiang'zhi'shi'tang 桂枝生姜枳实汤
'gui'zhi'shi'gao'tang 桂枝石膏汤
'gui'zhi'si'qi'tang 桂枝四七汤
'gui'zhi'tang 桂枝汤
'gui'zhi'tao'ren'tang 桂枝桃仁汤
'gui'zhi'xin'jia'tang 桂枝新加汤
'gui'zhi'xu'ming'tang 桂枝续命汤
'gui'zhu 鬼珠
'gui'zhu'tang'jie 桂竹糖芥
'gui'zong'tang 归宗汤
'gun'tan'wan 滚痰丸
'guo'cuo 郭痤
'guo'dao 果导
'guo'de'chang 郭德昌
'guo'gang'long 过岗龙
'guo'gui 郭桂
'guo'ji'zhong 郭稽中
'guo'jian 郭鉴
'guo'jing'zhong 郭敬仲
'guo'ju'yi 郭居易
'guo'lu'huang 过路黄
'guo'lv'dao 郭履道
'guo'ren'pu 郭仁普
'guo'ri'sheng 郭日生
'guo'ru'duan 郭汝端
'guo'sheng 郭晟
'guo'shi'fang 郭时芳
'guo'shu'qi 过熟期
'guo'tan 郭坦
'guo'wan 郭琬
'guo'wei'heng 郭惟恒
'guo'yong 郭雍
'guo'you'tao 郭右陶
'guo'yu 郭玉
'guo'zhao'qian 郭照乾
'guo'zhi'sui 郭志邃
'guo'zhong 郭忠
'guo'zi'he 郭子和
'guo'zi'zhang 郭子章
'hai'ai'tang 海艾汤
'hai'bai'cai 海白菜
'hai'bai'yan 害白眼
'hai'bang'han'zhu 海蚌含珠
'hai'cai 海菜
'hai'cang'dang'gui'wan 海藏当归丸
'hai'cang'wu'yin'tang 海藏五饮汤
'hai'cang'zi'wan'san 海藏紫菀散
'hai'cao 海草
'hai'dai 海带
'hai'dai'gen 海带根
'hai'dai'wan 海带丸
'hai'di 海底
'hai'di'lao'ming'yue 海底捞明月
'hai'di'lao'yue 海底捞月
'hai'di'lou 海底漏
'hai'di'yong 海底痈
'hai'er'can 孩儿参
'hai'fei 害蜚
'hai'fen 海粉
'hai'feng'teng 海风藤
'hai'fu'san 海浮散
'hai'fu'shi 海浮石
'hai'fu'shi'hua'shi'san 海浮石滑石散
'hai'ge'ke 海蛤壳
'hai'ge'san 海蛤散
'hai'ge'wan 海蛤丸
'hai'gou'shen 海狗肾
'hai'jian 害肩
'hai'jiao 海蕉
'hai'jiao'geng 海椒梗
'hai'jiao'qi 海椒七
'hai'jin'sha 海金沙
'hai'jin'sha 海金砂
'hai'jin'sha'cao 海金沙草
'hai'jin'sha'gen 海金沙根
'hai'jin'sha'san 海金沙散
'hai'jin'sha'teng 海金沙藤
'hai'kun'bu 海昆布
'hai'li'zi'ke 海蛎子壳
'hai'long 海龙
'hai'long'wan 海龙丸
'hai'lun 海论
'hai'ma 海马
'hai'ma'lin 海马蔺
'hai'piao'xiao 海螵蛸
'hai'qing'wan 海青丸
'hai'quan 海泉
'hai'ren'cao 海人草
'hai'shang'fang 海上方
'hai'shang'ming'fang 海上名方
'hai'shang'xian'fang 海上仙方
'hai'shang'yi'zong'xin'ling'quan'zhi 海上医宗心领全帙
'hai'she 海蛇
'hai'shen 海参
'hai'shi 海石
'hai'shu'teng 海薯藤
'hai'song'zi 海松子
'hai'tai'cai 海苔菜
'hai'tong'pi 海桐皮
'hai'tong'pi'jiu 海桐皮酒
'hai'tong'pi'tang 海桐皮汤
'hai'wo'ju 海莴苣
'hai'yao'ben'cao 海药本草
'hai'yu 海芋
'hai'yue 海月
'hai'zao 海藻
'hai'zao'kui'jian'wan 海藻溃坚丸
'hai'zao'san'jian'wan 海藻散坚丸
'hai'zao'wan 海藻丸
'hai'zao'yu'hu'tang 海藻玉壶汤
'hai'zhe 海蛰
'hai'zhe 海蜇
'hai'zhou'chang'shan 海州常山
'han'bi 寒痹
'han'bing 汗病
'han'cai 蔊菜
'han'chu 汗出
'han'chu'fu'leng 汗出肤冷
'han'fang'ji 汉防己
'han'fang'ji'tang 汉防己汤
'han'fang'jian'yi 汉方简义
'han'fang'xin'jie 汉方新解
'han'fang'yi'xue 汉方医学
'han'fang'yi'xue'zhi'nan 汉方医学指南
'han'fang'yi'yao'quan'shu 汉方医药全书
'han'gong'qiu 汉宫秋
'han'ji'bian'mi 寒积便秘
'han'ji'song 汉肌松
'han'jue 寒厥
'han'jue'bing 寒厥病
'han'lian 旱莲
'han'lian'cao 旱莲草
'han'liang'zhe'huo 寒凉折火
'han'ning'bao'zhong'han'shi'ning'zhi'zheng 寒凝胞中寒湿凝滞证
'han'ning'bao'zhong'yang'xu'nei'han'zheng 寒凝胞中阳虚内寒证
'han'ning'bao'zhong'zheng 寒凝胞中证
'han'ning'qi'ju'zheng 寒凝气聚证
'han'ning'qi'zhi'zheng 寒凝气滞证
'han'ning'xin'mai'zheng 寒凝心脉证
'han'ning'xue'se'zheng 寒凝血涩证
'han'ning'xue'yu'zheng 寒凝血瘀证
'han'ning'yang'shuai'zheng 寒凝阳衰证
'han'ning'yu'jie'zheng 寒凝瘀结证
'han'ning'zheng 寒凝证
'han'qi 悍气
'han'qin 旱芹
'han're 寒热
'han're 悍热
'han're'bing'ju 寒热并举
'han're'cuo'za'zheng 寒热错杂证
'han're'fu'xie 寒热腹泻
'han're'hu'jie'pi'zheng 寒热互结痞证
'han're'xiang'ji 寒热相济
'han'shan 寒疝
'han'sheng'ju'ji 寒胜拘急
'han'shi'jie'xiong'zheng 寒实结胸证
'han'shi'kun'pi 寒湿困脾
'han'shi'kun'pi'zheng 寒湿困脾证
'han'shi'ning'ju'zheng 寒湿凝聚证
'han'shi'ning'zhi'jin'gu'zheng 寒湿凝滞筋骨证
'han'shi'ning'zhi'zheng 寒湿凝滞证
'han'shi'ru'luo'zheng 寒湿入络证
